city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Ferguson,41.936934,-92.8657529,1927255,Marshall,x,,19127,Iowa,
Fertile,43.2644001,-93.418263,1927390,Worth,x,,19195,Iowa,
Floris,40.8650192,-92.3329612,1927975,Davis,x,,19051,Iowa,
Floyd,43.1277502,-92.7363031,1928020,Floyd,x,,19067,Iowa,
Fonda,42.5813666,-94.8460957,1928245,Pocahontas,x,,19151,Iowa,
Fontanelle,41.2897097,-94.5616359,1928290,Adair,x,,19001,Iowa,
Forest City,43.2624685,-93.6371937,1928380,Hancock,,,19081,Iowa,
Anthon,42.3883232,-95.8666772,1902350,Woodbury,x,,19193,Iowa,
Forest City,43.2624685,-93.6371937,1928380,Winnebago,x,x,19189,Iowa,
Fort Atkinson,43.1433068,-91.9326637,1928425,Winneshiek,x,,19191,Iowa,
Fort Dodge,42.4974694,-94.1680158,1928515,Webster,x,,19187,Iowa,
Fort Madison,40.6297634,-91.314535,1928605,Lee,x,,19111,Iowa,
Fostoria,43.2421877,-95.1555519,1928650,Clay,x,,19041,Iowa,
Franklin,42.7372361,-93.3388917,1928740,Lee,x,,19111,Iowa,
Fraser,42.1271312,-93.9698481,1928920,Boone,x,,19015,Iowa,
Fredericksburg,42.9652547,-92.1996196,1928965,Chickasaw,x,,19037,Iowa,
